timestamp,src_ip,dst_ip,protocol,attack_type,severity,confidence,status
2026-01-07 22:39:07,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.3557, threshold: 5.7983)"
2026-01-07 22:39:07,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.5816, threshold: 5.7983)"
2026-01-07 22:39:07,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51037.4140, threshold: 5.7983)"
2026-01-07 22:39:07,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.3557, threshold: 5.7983)"
2026-01-07 22:39:07,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.3992, threshold: 5.7983)"
2026-01-07 22:39:07,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.1838, threshold: 5.7983)"
2026-01-07 22:39:08,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51040.0224, threshold: 5.7983)"
2026-01-07 22:39:08,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7573.3181, threshold: 5.7983)"
2026-01-07 22:39:08,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7570.3483, threshold: 5.7983)"
2026-01-07 22:39:08,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.4487, threshold: 5.7983)"
2026-01-07 22:39:08,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.4986, threshold: 5.7983)"
2026-01-07 22:39:08,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.0908, threshold: 5.7983)"
2026-01-07 22:39:08,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.1495, threshold: 5.7983)"
